name,rating,text,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,stars
Lexie J,,"They have customized meals for Chinese New Year.
We went here for breakfast but of course the menu was different. i was hoping to see the full menu.

I wouldnt eat fast food in Hanoi. They have so much food varieties and it wont be as expensive as a McDonalds.",2,3,4,4
tristin godel,,Good food,,,,5
Hạnh Hạnh,,"Giá rẻ, nhân viên tận tâm",5,5,5,5
Árpád Morvai,,"Az ami ott van az szavakban nem kifejezhető! Senki semmilyen nyelven nem beszél, elmutogatom hogy mit nem kérek a szendvicsembe... Nyilván belerakták. Büdös, koszos...",1,1,1,1
Son Nguyenvan,,Liked,,,,5
Peter Gyorfi,,"The eating area upstairs literally STINKS as the AC is not serviced and the windows are nailed shut. The floor is slippery from the oil of dropped food. There's food remains and tissues on the floor all over, cleaning seems to stop when the tabletop is empty..",1,3,3,1
D Powell,,"It was extremely busy when I visited during Tet but, considering this, the service and food were good.",5,5,5,5
李律師,,"來河內的每一天我都會買一包薯條
薯條比台灣炸的還好吃
物價比台灣便宜
但今天我吃到不明白色硬體",,,,1
Nguyen Binh,,Good experience,,,,5
Thanh Bình An,,Quán ok 👍,,,,5
Minh Khổng,,"Is so good, you need to try it",4,5,4,5
Loc Ngo,,Ko có vòi xịt,5,5,1,1
조현욱,,"역시는 역시 맥도날드는 맥도날드!

빅맥세트 10만동.
세계통합 맛.
호안끼엠.

(2023)",5,5,5,5
R.,,"Sauber, freundliches Personal",,,,5
HanMar “HM”,,Mayo and garlic chili sauce nya enak,5,5,5,5
Dan Jones,,Still using plastic straw's in 2023 :000,,,,1
Chris Ellinas,,Very nice 🍔,,,,5
mark evison,,Delivery down,,,,1
Quang Thanh,,"Ổn. Đồ ăn mang tính công nghiệp nên không đòi hỏi nhiều.
Lúc mình ăn là vào tầm trưa, miếng gà bạn mình vừa lấy từ tay nhân viên khs đã nguội nên là -1 sao.",5,4,5,5
Corbett Campbell,,Good Oreo mcfurries,,,,5
Brian Luck,,"Classic McDs on the edge of the lake in central Hanoi
Plenty of seating upstairs, clean and airy
Menu has rice dishes too if you want",3,3,3,3
Toàn Phạm Việt,,"Mình khá thích mc donard vì gà cay và có đến 4 loại đồ chấm, đồ uống có coca không đường recommend luôn",,,,5
PHUONGTHAO CHU,,"Đồ ăn ngon, thực đơn phong phú, quy trình chuẩn bị chuyên nghiệp, vị trí đẹp nhg địa điểm đông nên thành ra hơi nhỏ",4,4,4,4
Muhammad Syamsul arifin,,"saya suka ketika winter, ada penghangat, staff membersihkan tempat tempat dengan bersih, kerja bagus",,,,5
S.C. Jang,,"그냥 평범한 맥도날드인데 치밥같은 메뉴가 있다 한국 가격의 80프로 정도 되는것 같다
음식때문에 지칠때 먹고 호수 한바퀴 돌면서 응옥선 사당으로 산책한번 하는걸 추천한다",4,4,5,5
DaeHa Jeong,,치킨 맛집^^무슨 말이 필요할까요?,4,4,4,4
Phương Anh,,"Thái độ nhân viên siêu tệ.
Tin được không? Cửa hàng đồ ăn không có dao to để cắt đôi hộ khách cái Burger 🤣🤣🤣",,,,1
Autumn Umberger,,No longer allowing parking outside the facility. All other parking is pay only and is more than a block walk from the location. Won't be coming here nearly at all anymore. But that's probably a good thing.,,,,1
Thomas Santo,,"Une vraie ambiance de mc Donald's asiatique.
Pas beaucoup de choix différents de la France, je m'attendais à plus de choc ""McDonald's"".

Le mcflurry Oreo au matcha est assez étonnant par contre.",5,3,3,4
Tú Hoàng,,Mình cảm thấy không được tôn trọng vì thái độ của các bạn nhân viên bán hàng,,,,1
Haddon Kilmartin,,Not even open 24hrs get a grip ronald mcdonaal,,,,1
Karin Hasegawa,,二階はいつも湿っていて空気が悪く臭いです。場所の都合、常に混んでいます。客は自分でゴミを捨てないので、席に座るには前の客のゴミをスタッフに片付けて貰う必要があるので効率が悪いです。注文から受け取りまでは自動化されてるのでスムーズです。スタッフは一生懸命働いてます。,2,3,3,3
Morten Pedersen,,Ordrer bestilt på ordremaskinen blev ikke ekspederet. De blev lagt bagest i køen eller forsvandt. Det var nødvendigt at rykke flere gange for maden.,3,3,1,1
viet ha,,"Trẻ con rất thích, cuối tuần rất đông",4,5,5,5
Ankur Jyoti Sharma,,It was delicious meal as expected. We were looking for something other than the regular Vietnamese food and this was well within our rescue,5,5,5,5
Thao CZ Le (Thao Le),,Mc Donald Bờ Hồ vị trí đẹp. Muốn ăn MD mình thường ghé vào đây Thik nhất món kem và bánh Big Mc,,,,3
Kieran,,AVOID!! Worst McDonalds I’ve ever had. GAVE ME FOOD POISONING!! Disgusting,,,,1
화채,,마차라떼 존맛,5,5,5,5
This Nothing,,"Food same same at all MacD's the problem is parking,  can park, then cannot Park,  on and on it changes daily",,,,2
Sarah Elsmore,,Awesome McDonald’s on the main road!! The staff are very friendly and the young girl at the register spoke very good english. Very happy with the service and quality of food. Thank you to the staff for a great experience :),,,,5
Arun Babbar,,Like all MacDonald world over this one Hanoi was no different...enjoyed eating here...,5,5,5,5
Vipin Vijaykumar,,"Spacious, with enough number of seats. The restaurant has dedicated takeway section. The restaurant has a decently maintained restroom. Do try their fish fillet burger. Meals include fries OR salad as an option.
Although ordering/payment needs to be done at counter, food will be served to hour table.

Condiments like mayo, sweet & sour sauce are available separately.

Service is quick.",,,,5
Alexander Fortuna III,,"Service is a bit slow for a ""fast"" food chain but the cooking is good. I think that's why it took a longer time to prepare the food. It's not pre-cooked or anything.",5,4,4,4
Bailee Copeland,,"Staff was friendly, was able to easily order & pay on one of the machines, & food was decent. Wasn’t the best McDonald’s I’ve ever had but was just what I was looking for. Needed a little bit of western food to change things up. Very affordable! Paid 44,000 for a McChicken, small fries, & a coke.",,,,4
Mushthaq M,,"Good ambiance and friendly staff,  food matches the standards",5,5,5,5
Ms. Lương,,"Tệ,
Quá đông, phục vụ chưa tốt.
Đồ ăn bình thường, không bằng các hãng đồ ăn nhanh khác.
Đặc biệt kinh khủng với tiếng ồn, sự mất trật tự ở đây.",,,,1
Rare Russian,,Much more tasty than in Russia,5,5,5,5
Niсk Flashback,,"Те кто поставили 4/5 звёзд не были в нормальных Макдональдсах. Здесь не вкусная картошка, чизбургер так себе, есть грязь на столах и полу, на окнах можно плесень чёрную увидеть, хотя на первый взгляд ресторан выглядит сносно. В ещё пахнет в туалете.

Самый худший мак в котором я был, дизлайк и отписка.",,,,1
33.Quỳnh Vũ Diễm,,"Nhân viên không nhiệt tình,tỏ thái độ với khách hàng,đồ ăn thì chờ mãi không được.Nhân viên cần chỉnh sửa lại thái độ phục vụ",,,,1
SUNG YOO,,경험해 보면 알게됨,3,2,2,2
Dzung Tran Huu Minh,,"Diamond location right next to Hoan Kiem lake the heart of the city.
Beside your typical Big Mac you can find localizes menu like barbecue chicken, and if lucky, seasonal item like Pho Burger.",,,,4
lethanh giang,,Uống mỗi cốc cà phê mà bắt đợi lâu quá .,,,,3
강진우 (maro),,맥도날드에 가서 빅맥을 맛보는 것은 하나의 법칙이죠.,,,,5
Nghĩa Cộ,,Thỉnh thoảng nhân viên hay giao nhầm order,,,,3
charlie brennan,,"Hands down the best McDonald's I've ever been to, when you go up to the door they open it for you and ever one of the staff members that's working and see you come in say hello to you, when I was ordering on the touch screen I was asked twice do i need help, when we were waiting for our food they came up to us and asked are we eating in, they gave me a table number and told me they would drop it down to us, when they dropped the food to us they read out our order to see if we had everything, they checked with us half way thorugh our food are we satisfied with it? They then gave us a voucher for our next visit, and when we had finished they took the tray away for us! Best maccies ever!",5,5,5,5
Beauty Nails,,Sehr schön ..gemütlich! 🥰,,,,5
David Scott,,"Staff very helpfull. Had ice cream then went around the lake. Went twice, was going to eat in 1st time but noisy students made us leave.",2,5,5,4
이유나,,키오스크 앞에서 안내해주는 직원 굉장히 친절하세영,,,,5
Juha-Matti Saari,,Normal Mc Donalds. Steady quality. Not too busy place at a time.,4,4,4,4
trường giang đỗ,,"View triệu đô.
Đồ ăn tươi ngon.
Khách nước ngoài ủng hộ nhiều.",,,,5
콜라메니아,,"1.키오스크에서 주문을한다(현금시)
2.카운터에 키오스크에서 나온 영수증을 보여주며 돈을낸다.
3.카운터에서 받은 스텐드번호판을 두고 자리에서 기다리면 가져다 주신다 ㅇ.ㅇ
4. 한국맥날보다 맛있다(평일기준)",,,,5
Bruno Monte,,"Beaucoup de monde, certaines personnes ne consomment même pas. J'ai pris un Macflurry oreo, on cherche l'oreo dedans et supplement chocolat. Rien a voir avec ceux que l'on trouve en Europe",,,,4
M Labelle,,Just a regular McDonald's. The service is slow but the food is ok and the employees are generally helpful. I would avoid it during lunch hours because it's very crowded with teenagers.,,,,5
Ryan Carter [TH59],,Mcdonalds in asia is always bettet than the UK cant fault it. More choice than at home and more care taken to cook,5,5,5,5
Crow Bruh,,Nice,,,,4
Mitsutoshi Isobe,,グラブで注文したのですがずーっと無視されてました,,,,1
Marsha Gratia,,They have special vietnamese menu and it tasted good,,,,4
Bảo Trần Gia,,"Dạo này thấy gà với đồ ăn kèm là Xà lách lắc của MCDONALD'S ngon vl. Kem cũng ngon nữa, đặt trên app thì khuyến mãi cũng nhiều.",,,,5
Lasse Johannessen,,"Use google translate for salt, other than that its was great Nice price here in Vietnam 👍",,,,5
Jee Hoon Lee,,"빅맥은 언제 어디서나 같은 맛.
나머지는 다른맛 ㅋ",,,,5
rosie camilleri,,"The toys are very rude, girls and boys toys are disrespectful. then again there are people in this world that  want to be a girl and boy isn’t that ok! your showing kids that they have to pick one gender can’t this world be more accepting,  change your toys to children so children don’t have to feel pressured to pick one gender",,,,4
Mcdaryl Lleno,,"A tourist from Philippines here!

Brace for the experience because most of their combo offerings do not have rice included. Also, there is no gravy. There are only 4 varieties of sauce which includes chili garlic, mayonaisse, ketchup and chili sauce.",,,,5
Will C,,I love McDonald's,,,,5
Trịnh Duy Anh,,Quá đông nhưng nếu chấp nhận chờ đợi 10p thì vẫn okie vì Macdonald đây có sử dụng phương pháp tự order cho khách.Khách order trên các bảng menu sau đoa ra thanh toán tại quầy cầm ticket và đợi.Đồ thì vẫn chuẩn Macdonald,,,,4
Kenji Yamazaki,,ベトナムっぽいフォーバーガー？みたいなのがあって注文しました。ベトナムっぽい味！笑  店内は空いていましたが現地の子供が騒いでテーブルに乗っかっていたりローラースケートで走り回ったりしていて騒がしかったです。,,,,3
Ryan Donald,,Clean and what you expect from a McDonald’s,,,,4
na mi,,한국사람이지만 호안끼엠에서는 롯데리아 먹지말고 맥도날드 드세요,,,,4
Antoine Trần,,"McDonald’s Hồ Gươm

Fantastic 👌🏼",,,,5
Huy Hoàng Nguyễn Như,,"The food and serve was ok, but I can’t order online with any apps. The restroom was dirty. Some time the space just like a trash yard",,,,3
BK,,Come here for safe haven food.,,,,5
Suthiyano Kan,,อร่อยได้มาตรฐาน​ ชอบซอสพริก​ กับซอยพริกกระเทียม​ อร่อยมากครับ​ ที่ไทยไม่มีแบบนี้,,,,5
Abanoub Colta,,Great place! Pho burger was new for me being an American,,,,5
Jesse Wiersma,,Geen vegetarische burgers en het restaurant was vies. Prullenbakken liepen over.,,,,2
Trung POIRIER,,"Nul, c'est incomparable avec les Macdo en Europe !!!",,,,2
Sojeong Gwak,,다좋은데 사람이 너무 많고 화장실이 한칸이에오ㅜ,,,,4
Rảnh TV,,Tuyệt,,,,5
Muhamad Abu Reda,,"Good and clean place , we just ordered an icecream , so i cant tell you if the food is good or bad",,,,5
Nhí Nhố Huy,,Tài Xế Công Nghệ Đến Lấy Hàng! Không cho Tài Xế Vào Quán Bắt đứng ngoài đợi. Dù trời đang nắng hay mưa!!! Quản lý quán lên xem xét lại mình và nhân viên quán!,,,,1
Quoc Viet Ngo,,"Burger cannot compare with burger king. The chicken was too salty, cannot compare with kfc or lotteri...",,,,2
Tùng Đỗ Đình,,"Tài xế đến lấy hàng trời mưa hay nắng cũng ko cho vào lấy,bắt lấy hàng
Đề nghị xem lại thái độ của quán vs đối tác giao nhận",,,,1
Mai Chi,,"Nhân viên nhiệt tình, đồ ăn ngon, thực sự không có gì để chê cho đến khi ra về và bị bảo vệ chửi té tát vào mặt. Mình cả đợi món cả ăn hết tầm 1 tiếng và đến lúc ra về bị bảo vệ chửi, ông cho là mình để xe ở đây ăn xong và đi nơi khác rồi mới quay lại cho dù mình đã giải thích. Thực sự rất thích nơi này nhưng chắc đây sẽ là lần cuối mình đến đây.",,,,2
Dasha Granina,,Всё в стиле макдака. Есть кондер.,,,,5
Medhi B.,,Sunday Mango and Pineapple yogurts was very good,,,,5
Phúc Lê Hoàng,,"Quán khá là đông đúc, phục vụ nhanh, đồ ăn ngon",,,,4
Dzung Pham,,"My wife got yielded at when she asked for not taking chicken breast if possible. The Manager's response was unhelpful, rude, inconsiderate, disrespectful and unacceptable. The service level at this place is way worse than those same branches in HCMC. Won't ever come here again!",,,,1
Mom RT,,그냥 맥도날드 ㅋㅋㅋ,,,,3
Aaron Karabegovic,,Worst McDonalds burger I've ever had.,,,,1
Christopher Cotton,,Very busy and only had 3 screens youvcould order from.  Food took ages to get.  The bun itself was wet and horrible. Not a great experience.,,,,3
Ha Pham,,Đâu cũng vậy cùng một type.,,,,4
Long Nguyen,,Got severe stomachache,,,,1
Trinh2k Chang,,Bắt tài xế đứng trờ ngoài đường. Tài xế cũng là khách hàng,,,,1
ANTON nedolzhno,,Старуха возле ресторана требует деньги за парковку на дороге),,,,5
諸星旭,,"外国人だから分からないと思ったのか普通にお金多くとられました。残念です。
味は普通にマックでした。",,,,1
linh cao vũ,,Phục vụ tốt!,,,,5
김종욱,,매장내 식사 생각하고갔다가 주말에 인피로인해 테이크 아웃 해 왔다 카드 기계가 고장인지 카드 결제가 안되서 외국 사람들은 다 당황한듯 카운터로 다시 가서 현금결제하고 키오스크가 제역할을 못하는거 같다,,,,3
Đỗ Thị Hiền,,Thái độ nhân viên tốt. Sạch sẽ.,,,,5
cc cheng,,Can fill you up with reasonable prices,,,,4
Hang Hoang Thu,,Ok,,,,5
Sùng Phạm,,Ngôn mà lắm lúc đông khách đợi lâu,,,,5
Chí Nguyễn,,"vị trí này quá đỉnh, vị đồ ăn thì đồng nhất với hệ thống",,,,5
Fedi Aloui,,Bad quality service!,,,,1
rob ng,,Good but slow,,,,5
Dominic Chan,,Very slow. The burger and fries tasted like they were made yesterday.,,,,2
周利槃特釈迦仏,,注文がタッチパネルになって やり方わからん。カウンターじゃ受け付けてくれないので もう行けない。,,,,3
Duy Ninh,,Good,,,,5
Phụ Kiện Ô tô Minh Đức,,"Ăn lần thứ n và lần đầu review :))) gà thơm ngon, bánh cũng ngon hơn các nơi khác. Đi qua bờ Hồ mà k ghé qua làm 1 suất thì hơi bị thiếu thiếu j đó",,,,5
Lâm Phúc,,Good,,,,5
Nguyễn Văn Tùng,,Good,,,,5
Bạc Băng Tiêu,,Good,,,,5
Trang Nguyễn,,Good,,,,5
Thành Vm,,Good,,,,5
Nam Nguyễn,,Good,,,,5
Mạnh Đình Nguyễn,,Good,,,,5
Phượng Trần,,Good,,,,5
Phương Ngoan,,"Quán sạch sẽ, đồ ăn chất lượng lắm nha, 10đ cho thái độ phục vụ khách hàng, 1 trải nghiệm tốt khi vào quán, sẽ tiếp tục ủng hộ cửa hàng",,,,5
Hường Thu,,Good,,,,5
Nick Kun,,Rất đáng tiền,,,,5
Thắng Nguyễn Thành,,Good,,,,5
Kim Anh,,Good,,,,5
Hoài Bùi,,Good,,,,5
Ngọc Nguyễn Vân,,Good,,,,5
Bạch Dương Trịnh,,Hồ gươm,,,,5
Nam Dom,,Tốt,,,,5
Tài Gà,,Good,,,,5
Lò Thị Kiều,,Good,,,,5
pham cherry,,Ha Noi Vietnam 🇻🇳 Macdonald 👍,,,,5
Đăng Tiến,,"chất lượng đồ ăn thì không có gì phải nói tuy nhiên cách thức làm việc ở nhà hàng này lại không hiệu quả chút nào
- quán không có loa thông báo: vì quán rất đông khách, lượng người chờ lấy đồ là rất lớn, có những khách tây hoặc người chờ lấy đồ tại bàn thì không thể nghe hoặc hiểu được nếu như nhân viên chỉ gào mồm lên đọc ""đơn số... ra nhận hàng"" nơi này thực sự cần một hệ thống loa và mic để nhân viên đọc số thứ tự trên loa tránh cho việc đồ làm xong nhưng người nhận không biết cứ chờ và và lượng khách tới liên tục sẽ gây hiện tượng chờ đồ lâu, ách tắc không cần thiết",,,,3
Lâm :3,,Good,,,,5
LeThanhDuy offical,,Good,,,,5
Uyên Huế,,Good,,,,5
Huyền Hà,,"Dịch vụ khách hàng không tốt do quá đông khách.
Nhưng đồ ăn thì không đặc sắc.",,,,4
Bùi Đặng Nhật Duy,,Good,,,,5
Hoang Trong Dat,,Good,,,,5
695 Thưởng,,Good,,,,5
Fernando Romero,,Over crowded. Bathroom is always a mess.,,,,1
Bdgf Ffdg,,Good,,,,5
Lê Mai Lan,,Good,,,,5
Hiếu Đậu Thị,,Good,,,,5
Thu Tô,,Good,,,,5
Dang Tien,,Good,,,,5
Thịnh Kim,,Good,,,,5
Hùng Tòng Văn,,Good,,,,5
Phượng Đỗ,,Good,,,,5
Bao Nguyen,,Good,,,,5
Dung Nguyễn,,Good,,,,5
BYA Y TIEN,,Good,,,,5
Nhac Hoang,,Good,,,,5
Linh Đỗ,,Good,,,,5
Phương Trần,,good,,,,5
Thích Xì Gà,,"Đông đúc, nhưng vị trí đẹp vậy mà làm view không đã lắm.",,,,4
Tân Nguyễn,,Good,,,,5
hoàng nguyên,,Good,,,,5
Hop Vutuan,,Good,,,,5
Hoàngg Tyếnn,,good,,,,5
trong xuan,,Good,,,,5
Đức Anh Hoàng,,Good,,,,5
ngọc châu cover,,Good,,,,5
luân phạm,,Good,,,,5
martin clyton,,Very bad.... open at 7am nothing ready... change the manager. At 7.01 I ordered by 7.15am I ask for my order. They asked me to wait 10 mins more! Omg!!! When you open at 7am you need to be ready at 7am. Not open at 7am and nothing is ready... very Angry 😠 😡,,,,1
Hiên Nguyễn Công,,Good,,,,5
Hoa Lê,,Good,,,,5
HOA NGUYEN,,Good,,,,5
Thái Nam Đặng,,Good,,,,5
Rayne Vũ,,Good,,,,5
Nghĩa Minh,,Tuyệt Vời,5,5,5,5
Izabela Maria,,"Standard McDonald, nothing bad to say. They keeping this place clean. Some people are speaking english",,,,5
Văn Tú Nguyễn,,Ok,,,,5
Thanh Phan Thị,,"View đẹp, nhìn ra Tràng Tiền, Hồ Gươm. Máy order tự động, nhanh gọn lẹ.",,,,5
du minhphAT,,Để khách chờ đợi lâu,,,,1
Tâm Đặng Mai,,"Ấn tượng về cái máy order đồ ăn, lần đầu mình ăn ở đây, 1 suất ăn bé hơn so với kfc và lotteria giá cao hơn chút, đồ ăn ok nhé",,,,4
RICK HUNTER,,"Évitez le mercredi, vous comprendrez pourquoi 😁",,,,3
nkchi,,"Đồ ăn nhanh. Ăn cũng ngon. Phục vụ chạm, chưa tốt. Nhưng khu rửa tay rất tệ. Lần nào tôi đến cũng thấy nước ướt nhẹp cả sàn. Vòi cảm ứng chắc lắp lâu quá rồi nên mãi mới cảm ứng được. Bồn rửa hơi cao, vòi rửa hơi sâu so với tầm với của các bạn nhỏ dưới 10 tuổi.",,,,3
Hoang Nguyen Van,,"Đông vào cuối tuần, nhân viên tư vấn vị cay cho cả trẻ em, đồ ăn cay và mặn, order lâu, máy hay lỗi",,,,2
Thảo Nguyễn,,"Gà ngon, sốt mù tạt mật ong siêu đỉnh luôn nhá. Không gian khá rộng nhưng lần nào đi cũng rất đônggg",,,,5
Ngọc Tuân Trần,,"Quán đông, ngồi cũng không sạch sẽ (vì nó quá đông). Xếp hàng rất mất thời gian. Nên cân nhắc nếu ăn ở đây vào cuối tuần, vì vào ăn, như đi đánh trận.",,,,3
Ducklings Systems Little House,,Crowded and doesn't care about customers. Took 1 hour to receive an order of 2 fried chicken and 6 pieces chicken nuggets. Really?! 1 hour just for that order?!?! I understand if it's a big order but only 2 things yet it took you an hour? I didn't realize that fastfood means you have to wait for an hour to get your order. That's what fast means now. Very disappointed!,,,,1
cuong doan,,Nhân viên mắt dậy thật,,,,1
Linh Nguyễn,,"Đã đặt ở quán rất nhiều lần nhưng lần này cực kì bực mình. Đơn giao thiếu đồ, gọi quán để xem lại thì k ai nghe máy, báo cáo đơn hàng trên app cũng ko thấy phản hồi",,,,1
Ricky Muchtar,,I'm lovin' it,,,,5
Genji M4,,"Who won now, huh?",,,,5
Isaac A (Merp),,"Felt like I had to try McDonald’s from a new country so I ordered a few items, it’s definitely terrible compared to the western McDonald’s. I don’t know what is inside these Vietnamese McDonald’s nuggets but it definitely is not chicken",,,,3
Pong Pong,,맥날 좋아하는데 가격차이가 크진 않네여 그냥 똑같은데 사실.. 더 비싸도 가까웠다면 많이 갔을건데. 한식보다. 맥날 먹고 감동스러웠음 난,,,,5
louisiana vlog,,"하노이에서의 아침은 항상 맥도날드에서 !!
키오스크 주문 방식인데 신기한건 주문 영수증받고 현금을 카운터로가서 재결제해야되요. 매우 위험해 보이는 관리 시스템!!",,,,5
Chase Your Dreams,,"Very efficient, helpful staff, delicious and big sitting area to eat at the first floor 🌟🌟🌟🌟🌟 Great location near the Shopping complex",,,,5
ĐỨC PHƯỢNG Đại lý Trà Cung Đình Huế,,bán các loại trà đặc sản vùng miền,,,,5
Roger Senn,,Typical McD. The time we had been there they skipped table service due to personal shortage. Only two toilets. Needed to cue up.,,,,3
sing ll,,Khá đông,,,,4
Dirk Swanepoel,,"Seen them now 3 times give out the same order, to locals that ordered after us. 30min waiting period is a joke for fast food. Everytime you ask whats goung on. Wait 5 minutes. Joke",,,,1
Nguyen Hiep,,Buổi sáng ko đông khách nhưng phục vụ siêu lâu. Thái độ nhân viên kém. Đưa thiếu đồ trong đơn đã đặt. Tệ hại,,,,1
h lhr,,Impossible de se faire livrer. Buzzy et commande annulée 5 fois,,,,1
Dzung Luu,,Terrible service,,,,2
Minh Anh Thu Nguyen,,hồi xưa ăn thì ok nhưng dạo này cánh gà cứng với rất khô.,,,,3
Nguyen Chi,,Tôi phải chờ hơn 1h để đc phục vụ phần mà tôi đã thanh toán,,,,3
Duy Linh Phan,,"Đông, ăn đc. Phục vụ nhanh",,,,5
Huy Anh,,Vào lấy đồ lâu bỏ mẹ,,,,5
Kiên Lê Trung,,"Cửa hàng đông khách. Order và thanh toán dễ dàng. Chờ đồ hơi lâu.

Chất lượng đồ ăn, đồ uống tốt.",,,,5
Nhung Đỗ Hồng,,"Một địa điểm nổi bật trong các chuỗi thương hiệu đồ ăn nhanh! Phong cách phục vụ, cơ sở vật chất, vị trí chỗ ngồi, đồ chấm kèm theo, ... tất cả đều đúng chuẩn chất lượng thế giới.
Gà rán ngoài giòn trong mềm, đậm đà. Khoai tây chiên đậm vị khoai, ăn nóng rất ngon ngậy.
Có hẳn 4 loại nước sốt chấm: tương cà, tương ớt, tương ớt tỏi, sốt mayonnaise ( vô cùng ngậy).
Nay muốn vào để lấy đồ chơi trẻ em, con Tom & Jerry, ấy mà hết, có đồ chơi khác cũng vui ko kém.",,,,5
윌남꿀주먹,,Macdonald,,,,4
Hoang Phat Nguyen,,"Nhiều lựa chọn, vị trí rất đẹp",,,,5
Hiệp Hiên GPDN,,"Chuỗi kinh doanh toàn cầu(?) Trả đơn nhầm tên. Có biển đề thanh toán chống dịch nhưng KHÔNG nhận tiền chuyển khoản, KHÔNG nhận thanh toán Momo, KHÔNG nhận thanh toán thẻ. Nhân viên có vui vẻ nhưng thiếu chuyên nghiệp",,,,1
Mario Dang,,Đồ ăn ngon...phong cách phục vụ nhiệt tình và tốt....1 địa điểm ok để ăn uống và check in.,,,,5
박동혁,,여긴 미쳤다,,,,5
Nguyễn Văn Đức,,"Rất thuận tiện, đồ ăn ngon.",,,,5
Hoi Ngo,,"Chất lượng phục vụ quá kém, hôm nay tôi đặt bữa sáng mà nhân viên lại đưa kem trước, đứng đợi tới kem tan chảy ra tay vẫn chưa đưa nốt những đồ còn lại, cũng kệ đấy không đưa giấy ăn cho khách.

Mc Muffin cũng quên đưa muối và tiêu cho khách, vấn đề này nói bao nhiêu lần rồi mà lần nào cũng quên. Lần trước tôi đã mắng cho rồi tôi nghĩ họ sẽ không quên nữa, ai ngờ đem đồ về mới biết là đưa thiếu.

Nói chung quá thiếu chuyên nghiệp.",,,,1
Dũng Trần,,Ăn đợt mới nới lỏng giãn cách nên cũng bình thường,,,,4
WindGod Hoang,,View ổn đồ ăn ngon.,,,,4
Matthew May,,"I don't care what you say, I love a maccies now and again",,,,5
Giang Nguyễn Hương,,"Dịch vụ quá chậm,  Tôi  tên Nguyễn Hương Giang,    hôm nay  khoảng 14h  ngày 2/2 /2022 có đến Mac donald  Hồ Gươm 2 P Hàng Bài Hoàn Kiếm Hà Nội, gọi combo 179k  + 1 chai  nước lọc Dasani,  + 1 sữa th true milk,  + 1 ngô tách hạt  = tổng 278k,  trả tiền mặt sau khi oder trên bảng thì được số xếp hàng là 82, trả tiền xong,  được số 182,  nhưng  Tôi chờ mãi không có số 182 trên bảng trả đồ ăn,  Tôi hỏi nhân viên thì họ cau có nhăn nhó,  bảo:..."" chờ, chờ đi "" Tôi thấy rất nhiều số,  người đến sau Tôi, đã ăn xong, đi về,  Thế thì mac donald  cho phép chen cả người sau lên người trước,  đồ ăn combo 179k  thì cắt xẻo,  ăn bớt,  thiếu cả khoai tây chiên, thiếu cả 2 cốc coca co la của Tôi. Mac donald  có camera rất nhiều, sao Tôi có thể nói dối, nói sai được",,,,1
Minh Nguyen Duc,,Good,,,,5
Adan Morones,,"Clean, organized, hard working staff, good quality.",,,,5
어머니시민,,그냥 세계여러 맥도날드이용 잼나다,,,,4
Thịnh 64 Nguyễn Ngọc,,Đồ ăn nhanh nhma ăn cho biết tại lâu lắm mới về HN.,,,,4
Tan Nguyen Cao,,The restroom is out of service. !!!???,,,,1
Mịch Lê,,Món ăn nhanh cho mọi người ngon rẻ,,,,5
Xuân Lộc Nguyễn,,"Phục vụ tốt, thức ăn đúng tiêu chuẩn.",,,,5
Stephanie Claire Mills Mills,,Very busy- card only with only self service and dated decor,,,,3
Duy Anh Do,,Cần gọi ăn nhanh để đi gấp nhưng đợi mất tg quá. Nên cải thiện thêm,,,,1
Liên Nguyễn,,"Sach,đẹp dễ tìm",,,,4
thanh vàng,,Rất vui khi được làm quen với bạn bè của tôi và mọi người,,,,5
trang hoàng đài,,Kem ngonn,,,,5
Thành Nghịch Ngợm Official,,"Có vị trí đắc địa giữa phố đi bộ, ngày thường thì có chỗ để xe, có máy odre tự động, đồ ăn ra nhanh, không phải trờ đợi quá lâu.",,,,5
Long Nguyen,,Không gian và phục vụ tốt,,,,4
Viet Le,,Đẹp. phục vụ nhanh,,,,4
Jr Caroline (Cá),,"nhanh, tiện lợi",,,,5
Thanh Hoà Nguyễn,,Quán tủ của các sếp nhỉ nhà tuôi 🤣,,,,5
Hong Dang,,So fresh and good price,,,,5
Klaus Eckstein,,Very good,,,,4
Thanh Thảo Nguyễn,,"Đồ ăn ngon, view đẹp, rất đáng để làm một bữa no với bạn bè ^^",,,,5
Luxe Thai Restaurant,,"Too many people, ling queue",,,,4
Đức Anh Phùng,,So cute!,,,,5
Hiep Truong,,Tốt nhanh,,,,5
Nguyễn Hoàng,,"Không ngon bằng KFC. Vì nằm ngay vị trí đối diện sát Hồ Gươm nên quán khá đông đúc, ngột ngạt.",,,,3
Nguyễn Hằng,,Ngon,,,,5
Anh Tuấn,,Chất lượng,,,,5
Thắng Lương,,Quán phục vụ chuyên nghiệp. Đồ ăn ngon,,,,5
Charles Chen,,This is the reason I go to Hanoi,,,,5
Việt Anh Đặng,,View hồ Gươm,,,,5
Lê Minh Hải,,Điểm đẹp nhất Hà Nội,,,,5
