Name,Review,Stars,Translated Review,Language,Sentiment
Morten Pedersen,Ordrer bestilt på ordremaskinen blev ikke ekspederet. De blev lagt bagest i køen eller forsvandt. Det var nødvendigt at rykke flere gange for maden.,1,Đơn đặt hàng trên máy đặt hàng đã không được gửi đi. Họ bị xếp ở cuối hàng hoặc biến mất. Cần phải di chuyển nhiều lần để lấy thức ăn.,da,Negative
viet ha,"Trẻ con rất thích, cuối tuần rất đông",5,"Trẻ con rất thích, cuối tuần rất đông",vi,Positive
Ankur Jyoti Sharma,It was delicious meal as expected. We were looking for something other than the regular Vietnamese food and this was well within our rescue,5,Đó là bữa ăn ngon như mong đợi. Chúng tôi đang tìm kiếm thứ gì đó khác ngoài đồ ăn Việt Nam thông thường và món này nằm trong sự giải cứu của chúng tôi,en,Positive
Thao CZ Le (Thao Le),Mc Donald Bờ Hồ vị trí đẹp. Muốn ăn MD mình thường ghé vào đây Thik nhất món kem và bánh Big Mc,3,Mcdonald Bờ Hồ vị trí đẹp. Muốn ăn MÀ mình thường ghé vào đây Thik nhất món kem và bánh Big Mc,vi,Neutral
Kieran,AVOID!! Worst McDonalds I’ve ever had. GAVE ME FOOD POISONING!! Disgusting,1,TRÁNH XA!! McDonalds tồi tệ nhất tôi từng có. ĐÃ CHO TÔI NGỘ ĐỘC THỰC PHẨM!! Kinh tởm,en,Negative
화채,마차라떼 존맛,5,Matcha latte hương vị tuyệt vời,ko,Positive
This Nothing,"Food same same at all MacD's the problem is parking,  can park, then cannot Park,  on and on it changes daily",2,"Thực phẩm giống nhau ở tất cả MacD, vấn đề là đỗ xe, có thể đỗ xe, sau đó không thể đỗ xe, cứ thay đổi hàng ngày",en,Negative
Sarah Elsmore,Awesome McDonald’s on the main road!! The staff are very friendly and the young girl at the register spoke very good english. Very happy with the service and quality of food. Thank you to the staff for a great experience :),5,McDonald tuyệt vời trên đường chính !! Các nhân viên rất thân thiện và cô gái trẻ ở quầy đăng ký nói tiếng Anh rất tốt. Rất hài lòng với dịch vụ và chất lượng món ăn. Cảm ơn các nhân viên vì một trải nghiệm tuyệt vời :),en,Positive
Arun Babbar,Like all MacDonald world over this one Hanoi was no different...enjoyed eating here...,5,"Giống như tất cả thế giới MacDonald ở đây, Hà Nội cũng không khác...rất thích ăn ở đây...",en,Positive
Vipin Vijaykumar,"Spacious, with enough number of seats. The restaurant has dedicated takeway section. The restaurant has a decently maintained restroom. Do try their fish fillet burger. Meals include fries OR salad as an option.
Although ordering/payment needs to be done at counter, food will be served to hour table.

Condiments like mayo, sweet & sour sauce are available separately.

Service is quick.",5,"Rộng rãi, có đủ số chỗ ngồi. Nhà hàng có khu vực mang đi dành riêng. Nhà hàng có một nhà vệ sinh được bảo trì tốt. Hãy thử bánh burger phi lê cá của họ. Các bữa ăn bao gồm khoai tây chiên HOẶC salad tùy chọn.
Mặc dù việc đặt hàng/thanh toán cần phải được thực hiện tại quầy nhưng đồ ăn sẽ được phục vụ theo giờ.

Các loại gia vị như mayo, sốt chua ngọt được bán riêng.

Dịch vụ nhanh chóng.",en,Positive
Alexander Fortuna III,"Service is a bit slow for a ""fast"" food chain but the cooking is good. I think that's why it took a longer time to prepare the food. It's not pre-cooked or anything.",4,"Dịch vụ hơi chậm đối với chuỗi thức ăn ""nhanh"" nhưng nấu ăn rất ngon. Tôi nghĩ đó là lý do tại sao phải mất nhiều thời gian hơn để chuẩn bị thức ăn. Nó không được nấu sẵn hay gì cả.",en,Positive
Bailee Copeland,"Staff was friendly, was able to easily order & pay on one of the machines, & food was decent. Wasn’t the best McDonald’s I’ve ever had but was just what I was looking for. Needed a little bit of western food to change things up. Very affordable! Paid 44,000 for a McChicken, small fries, & a coke.",4,"Nhân viên rất thân thiện, có thể dễ dàng đặt hàng và thanh toán trên một trong các máy và đồ ăn rất ngon. Đây không phải là món McDonald ngon nhất mà tôi từng có nhưng đó chính là thứ tôi đang tìm kiếm. Cần một chút đồ ăn phương Tây để thay đổi mọi thứ. Rất vừa phải! Trả 44.000 đô la cho một chiếc McCChicken, khoai tây chiên nhỏ và một cốc cocacola.",en,Positive
Mushthaq M,"Good ambiance and friendly staff,  food matches the standards",5,"Không khí tốt và nhân viên thân thiện, thức ăn phù hợp với tiêu chuẩn",en,Positive
Ms. Lương,"Tệ,
Quá đông, phục vụ chưa tốt.
Đồ ăn bình thường, không bằng các hãng đồ ăn nhanh khác.
Đặc biệt kinh khủng với tiếng ồn, sự mất trật tự ở đây.",1,"Tệ,
Quá đông, phục vụ chưa tốt.
Đồ ăn bình thường, không bằng các hãng đồ ăn nhanh khác.
Đặc biệt kinh khủng với tiếng ồn, sự mất trật tự ở đây.",vi,Negative
Rare Russian,Much more tasty than in Russia,5,Ngon hơn nhiều so với ở Nga,en,Positive
Niсk Flashback,"Те кто поставили 4/5 звёзд не были в нормальных Макдональдсах. Здесь не вкусная картошка, чизбургер так себе, есть грязь на столах и полу, на окнах можно плесень чёрную увидеть, хотя на первый взгляд ресторан выглядит сносно. В ещё пахнет в туалете.

Самый худший мак в котором я был, дизлайк и отписка.",1,"Những người cho 4/5 sao không phải ở McDonald's bình thường. Khoai tây ở đây không ngon, bánh mì kẹp phô mai thì tầm thường, có bụi bẩn trên bàn và sàn nhà, bạn có thể thấy nấm mốc đen trên cửa sổ, mặc dù thoạt nhìn nhà hàng có vẻ chấp nhận được. Nhà vệ sinh vẫn có mùi.

Cây anh túc tệ nhất mà tôi từng đến, không thích và hủy theo dõi.",ru,Negative
33.Quỳnh Vũ Diễm,"Nhân viên không nhiệt tình,tỏ thái độ với khách hàng,đồ ăn thì chờ mãi không được.Nhân viên cần chỉnh sửa lại thái độ phục vụ",1,"Nhân viên không nhiệt tình,tỏ thái độ với khách hàng,đồ ăn thì chờ mãi không được.Nhân viên cần chỉnh sửa lại thái độ phục vụ",vi,Negative
SUNG YOO,경험해 보면 알게됨,2,Bạn sẽ biết khi bạn trải nghiệm nó.,ko,Negative
Dzung Tran Huu Minh,"Diamond location right next to Hoan Kiem lake the heart of the city.
Beside your typical Big Mac you can find localizes menu like barbecue chicken, and if lucky, seasonal item like Pho Burger.",4,"Vị trí kim cương ngay cạnh hồ Hoàn Kiếm trung tâm thành phố.
Bên cạnh Big Mac điển hình của bạn, bạn có thể tìm thấy thực đơn bản địa hóa như gà nướng và nếu may mắn, các món theo mùa như Phở Burger.",en,Positive
lethanh giang,Uống mỗi cốc cà phê mà bắt đợi lâu quá .,3,Uống mỗi cốc cà phê mà bắt đợi lâu quá .,vi,Neutral
강진우 (maro),맥도날드에 가서 빅맥을 맛보는 것은 하나의 법칙이죠.,5,Đó là một quy tắc khi đến McDonald's và nếm thử một chiếc Big Mac.,ko,Positive
Nghĩa Cộ,Thỉnh thoảng nhân viên hay giao nhầm order,3,Thỉnh thoảng nhân viên hay giao nhầm order,vi,Neutral
charlie brennan,"Hands down the best McDonald's I've ever been to, when you go up to the door they open it for you and ever one of the staff members that's working and see you come in say hello to you, when I was ordering on the touch screen I was asked twice do i need help, when we were waiting for our food they came up to us and asked are we eating in, they gave me a table number and told me they would drop it down to us, when they dropped the food to us they read out our order to see if we had everything, they checked with us half way thorugh our food are we satisfied with it? They then gave us a voucher for our next visit, and when we had finished they took the tray away for us! Best maccies ever!",5,"Đây là cửa hàng McDonald's ngon nhất mà tôi từng đến, khi bạn bước đến cửa, họ sẽ mở cửa cho bạn và một nhân viên đang làm việc nhìn thấy bạn bước vào chào bạn khi tôi đang gọi món khi chạm vào màn hình Tôi đã được hỏi hai lần rằng tôi có cần giúp đỡ không, khi chúng tôi đang đợi đồ ăn, họ đến gặp chúng tôi và hỏi chúng tôi có đang ăn không, họ đưa cho tôi số bàn và nói với tôi rằng họ sẽ đưa nó xuống cho chúng tôi, khi họ đánh rơi thức ăn cho chúng tôi, họ đọc đơn đặt hàng của chúng tôi để xem liệu chúng tôi có đủ mọi thứ không, họ đã kiểm tra với chúng tôi nửa chừng thông qua thức ăn của chúng tôi, chúng tôi có hài lòng với nó không? Sau đó, họ đưa cho chúng tôi một phiếu mua hàng cho lần ghé thăm tiếp theo và khi chúng tôi ăn xong, họ mang khay đi cho chúng tôi! Maccies tốt nhất bao giờ hết!",en,Positive
Beauty Nails,Sehr schön ..gemütlich! 🥰,5,Rất đẹp..thoải mái! 🥰,de,Positive
David Scott,"Staff very helpfull. Had ice cream then went around the lake. Went twice, was going to eat in 1st time but noisy students made us leave.",4,"Nhân viên rất hữu ích. Ăn kem rồi đi vòng quanh hồ. Đã đi 2 lần, định đi ăn lần 1 nhưng sinh viên ồn ào khiến chúng tôi phải rời đi.",en,Positive
이유나,키오스크 앞에서 안내해주는 직원 굉장히 친절하세영,5,Các nhân viên hướng dẫn bạn trước ki-ốt rất thân thiện.,ko,Positive
Juha-Matti Saari,Normal Mc Donalds. Steady quality. Not too busy place at a time.,4,McDonald bình thường. Chất lượng ổn định. Nơi không quá bận rộn tại một thời điểm.,en,Positive
trường giang đỗ,"View triệu đô.
Đồ ăn tươi ngon.
Khách nước ngoài ủng hộ nhiều.",5,"View triệu đô.
Đồ ăn tươi ngon.
Khách nước ngoài ủng hộ nhiều.",vi,Positive
콜라메니아,"1.키오스크에서 주문을한다(현금시)
2.카운터에 키오스크에서 나온 영수증을 보여주며 돈을낸다.
3.카운터에서 받은 스텐드번호판을 두고 자리에서 기다리면 가져다 주신다 ㅇ.ㅇ
4. 한국맥날보다 맛있다(평일기준)",5,"1. Đặt hàng tại ki-ốt (chỉ nhận tiền mặt)
2. Thanh toán bằng cách xuất trình biên lai từ ki-ốt tại quầy.
3. Để lại biển số xe bạn đã nhận được ở quầy và đợi người mang đến cho bạn. ㅇ.ㅇ
4. Ngon hơn McDonald Hàn Quốc (theo ngày trong tuần)",ko,Positive
Bruno Monte,"Beaucoup de monde, certaines personnes ne consomment même pas. J'ai pris un Macflurry oreo, on cherche l'oreo dedans et supplement chocolat. Rien a voir avec ceux que l'on trouve en Europe",4,"Rất nhiều người, một số người thậm chí không tiêu dùng. Tôi lấy một chiếc Macflurry oreo, chúng tôi đang tìm phần oreo bên trong và thêm sô cô la. Không có gì liên quan đến những thứ được tìm thấy ở Châu Âu",fr,Positive
M Labelle,Just a regular McDonald's. The service is slow but the food is ok and the employees are generally helpful. I would avoid it during lunch hours because it's very crowded with teenagers.,5,Chỉ là một McDonald's thông thường. Dịch vụ này chậm nhưng đồ ăn thì ổn và nhân viên nói chung rất hữu ích. Tôi sẽ tránh nó trong giờ ăn trưa vì nó rất đông thanh thiếu niên.,en,Positive
Ryan Carter [TH59],Mcdonalds in asia is always bettet than the UK cant fault it. More choice than at home and more care taken to cook,5,Mcdonalds ở châu Á luôn ngon hơn Vương quốc Anh không thể chê vào đâu được. Nhiều sự lựa chọn hơn ở nhà và chăm chút hơn khi nấu nướng,en,Positive
Crow Bruh,Nice,4,Đẹp,en,Positive
Mitsutoshi Isobe,グラブで注文したのですがずーっと無視されてました,1,Tôi đã đặt hàng trên Grab nhưng nó cứ bị phớt lờ.,ja,Negative
Marsha Gratia,They have special vietnamese menu and it tasted good,4,Họ có thực đơn tiếng Việt đặc biệt và nó có vị rất ngon,en,Positive
Bảo Trần Gia,"Dạo này thấy gà với đồ ăn kèm là Xà lách lắc của MCDONALD'S ngon vl. Kem cũng ngon nữa, đặt trên app thì khuyến mãi cũng nhiều.",5,"Dạo này thấy gà với đồ ăn kèm là Xà lách lắc của MCDONALD'S ngon vl. Kem cũng ngon nữa, đặt trên app thì khuyến mãi cũng nhiều.",vi,Positive
Lasse Johannessen,"Use google translate for salt, other than that its was great Nice price here in Vietnam 👍",5,"Sử dụng google dịch để tìm muối, ngoài ra nó rất tuyệt Giá tốt ở Việt Nam 👍",en,Positive
Jee Hoon Lee,"빅맥은 언제 어디서나 같은 맛.
나머지는 다른맛 ㅋ",5,"Big Mac có hương vị giống nhau mọi lúc, mọi nơi.
Phần còn lại có vị khác nhau.",ko,Positive
rosie camilleri,"The toys are very rude, girls and boys toys are disrespectful. then again there are people in this world that  want to be a girl and boy isn’t that ok! your showing kids that they have to pick one gender can’t this world be more accepting,  change your toys to children so children don’t have to feel pressured to pick one gender",4,"Đồ chơi rất thô lỗ, đồ chơi bé gái và bé trai đều thiếu tôn trọng. rồi lại có người trên thế giới này muốn trở thành con gái và con trai, điều đó không được sao! bạn cho bọn trẻ thấy rằng chúng phải chọn một giới tính. Thế giới này không thể chấp nhận được nhiều hơn sao, hãy đổi đồ chơi của bạn thành trẻ em để trẻ không phải cảm thấy bị áp lực khi chọn một giới tính",en,Positive
Mcdaryl Lleno,"A tourist from Philippines here!

Brace for the experience because most of their combo offerings do not have rice included. Also, there is no gravy. There are only 4 varieties of sauce which includes chili garlic, mayonaisse, ketchup and chili sauce.",5,"Một du khách từ Philippines tới đây!

Hãy chuẩn bị cho trải nghiệm vì hầu hết các combo của họ đều không bao gồm cơm. Ngoài ra, không có nước sốt. Chỉ có 4 loại nước sốt bao gồm tỏi ớt, mayonaisse, sốt cà chua và tương ớt.",en,Positive
Will C,I love McDonald's,5,Tôi yêu McDonald's,en,Positive
Trịnh Duy Anh,Quá đông nhưng nếu chấp nhận chờ đợi 10p thì vẫn okie vì Macdonald đây có sử dụng phương pháp tự order cho khách.Khách order trên các bảng menu sau đoa ra thanh toán tại quầy cầm ticket và đợi.Đồ thì vẫn chuẩn Macdonald,4,Quá đông nhưng nếu chấp nhận chờ đợi 10p thì vẫn okie vì Macdonald đây có sử dụng phương pháp tự order cho khách.Khách order trên các bảng menu sau đoa ra thanh toán tại quầy cầm ticket và đợi.Đồ thì vẫn chuẩn Macdonald,vi,Positive
Kenji Yamazaki,ベトナムっぽいフォーバーガー？みたいなのがあって注文しました。ベトナムっぽい味！笑  店内は空いていましたが現地の子供が騒いでテーブルに乗っかっていたりローラースケートで走り回ったりしていて騒がしかったです。,3,"Một chiếc burger phở kiểu Việt Nam? Tôi tìm thấy một cái gì đó như thế này và đặt hàng nó. Hương vị như Việt Nam! LOL Nhà hàng vắng tanh, nhưng trẻ em địa phương lại gây ồn ào và trèo qua bàn và chạy xung quanh trên giày trượt patin, khiến nó rất ồn ào.",ja,Neutral
Ryan Donald,Clean and what you expect from a McDonald’s,4,Sạch sẽ và những gì bạn mong đợi từ McDonald's,en,Positive
na mi,한국사람이지만 호안끼엠에서는 롯데리아 먹지말고 맥도날드 드세요,4,"Mình là người Hàn Quốc nhưng ở Hoàn Kiếm không ăn Lotteria, ăn McDonald's.",ko,Positive
Antoine Trần,"McDonald’s Hồ Gươm

Fantastic 👌🏼",5,"McDonald’s Hồ Gươm

Fantastic 👌🏼",vi,Positive
Huy Hoàng Nguyễn Như,"The food and serve was ok, but I can’t order online with any apps. The restroom was dirty. Some time the space just like a trash yard",3,"Đồ ăn và cách phục vụ đều ổn, nhưng tôi không thể đặt hàng trực tuyến bằng bất kỳ ứng dụng nào. Nhà vệ sinh bẩn. Có lúc không gian như bãi rác",en,Neutral
BK,Come here for safe haven food.,5,Hãy đến đây để có thực phẩm trú ẩn an toàn.,en,Positive
Suthiyano Kan,อร่อยได้มาตรฐาน​ ชอบซอสพริก​ กับซอยพริกกระเทียม​ อร่อยมากครับ​ ที่ไทยไม่มีแบบนี้,5,Ngon và đạt tiêu chuẩn Mình thích món tương ớt chấm với tương ớt và tỏi. Rất ngon Ở Thái Lan không có chuyện đó.,th,Positive
Abanoub Colta,Great place! Pho burger was new for me being an American,5,Nơi tuyệt vời! Phở burger là điều mới mẻ đối với tôi là một người Mỹ,en,Positive
Jesse Wiersma,Geen vegetarische burgers en het restaurant was vies. Prullenbakken liepen over.,2,Không có bánh mì kẹp thịt chay và nhà hàng bẩn thỉu. Thùng rác đã tràn đầy.,nl,Negative
Trung POIRIER,"Nul, c'est incomparable avec les Macdo en Europe !!!",2,"Không, nó không thể so sánh được với McDonald's ở Châu Âu!!!",fr,Negative
Sojeong Gwak,다좋은데 사람이 너무 많고 화장실이 한칸이에오ㅜ,4,Mọi thứ đều tốt nhưng có quá nhiều người và chỉ có một phòng tắm.,ko,Positive
Rảnh TV,Tuyệt,5,Tuyệt,vi,Positive
Muhamad Abu Reda,"Good and clean place , we just ordered an icecream , so i cant tell you if the food is good or bad",5,"Nơi tốt và sạch sẽ, chúng tôi vừa gọi một cây kem, vì vậy tôi không thể nói cho bạn biết đồ ăn ngon hay dở",en,Positive
Nhí Nhố Huy,Tài Xế Công Nghệ Đến Lấy Hàng! Không cho Tài Xế Vào Quán Bắt đứng ngoài đợi. Dù trời đang nắng hay mưa!!! Quản lý quán lên xem xét lại mình và nhân viên quán!,1,Tài Xế Công Nghệ Đến Lấy Hàng! Không cho Tài Xế Vào Quán Bắt đứng ngoài đợi. Dù trời đang nắng hay mưa!!! Quản lý quán lên xem xét lại mình và nhân viên quán!,vi,Negative
Quoc Viet Ngo,"Burger cannot compare with burger king. The chicken was too salty, cannot compare with kfc or lotteri...",2,"Burger không thể so sánh với vua burger. Gà mặn quá, không thể so sánh được với kfc hay lotteri....",en,Negative
Tùng Đỗ Đình,"Tài xế đến lấy hàng trời mưa hay nắng cũng ko cho vào lấy,bắt lấy hàng
Đề nghị xem lại thái độ của quán vs đối tác giao nhận",1,"Tài xế đến lấy hàng trời mưa hay nắng cũng ko cho vào lấy,bắt lấy hàng
Đề nghị xem lại thái độ của quán vs đối tác giao nhận",vi,Negative
Mai Chi,"Nhân viên nhiệt tình, đồ ăn ngon, thực sự không có gì để chê cho đến khi ra về và bị bảo vệ chửi té tát vào mặt. Mình cả đợi món cả ăn hết tầm 1 tiếng và đến lúc ra về bị bảo vệ chửi, ông cho là mình để xe ở đây ăn xong và đi nơi khác rồi mới quay lại cho dù mình đã giải thích. Thực sự rất thích nơi này nhưng chắc đây sẽ là lần cuối mình đến đây.",2,"Nhân viên nhiệt tình, đồ ăn ngon, thực sự không có gì để chê cho đến khi ra về và bị bảo vệ chửi té tát vào mặt. Mình cả đợi món cả ăn hết tầm 1 tiếng và đến lúc ra về bị bảo vệ chửi, ông cho là mình để xe ở đây ăn xong và đi nơi khác rồi mới quay lại cho dù mình đã giải thích. Thực sự rất thích nơi này nhưng chắc đây sẽ là lần cuối mình đến đây.",vi,Negative
Dasha Granina,Всё в стиле макдака. Есть кондер.,5,Mọi thứ đều theo phong cách McDuck. Có một Conder.,ru,Positive
Medhi B.,Sunday Mango and Pineapple yogurts was very good,5,Sữa chua xoài và dứa Sunday rất ngon,en,Positive
Phúc Lê Hoàng,"Quán khá là đông đúc, phục vụ nhanh, đồ ăn ngon",4,"Quán khá là đông đúc, phục vụ nhanh, đồ ăn ngon",vi,Positive
Dzung Pham,"My wife got yielded at when she asked for not taking chicken breast if possible. The Manager's response was unhelpful, rude, inconsiderate, disrespectful and unacceptable. The service level at this place is way worse than those same branches in HCMC. Won't ever come here again!",1,"Vợ tôi đã nhượng bộ khi yêu cầu không ăn ức gà nếu có thể. Phản hồi của Người quản lý là vô ích, thô lỗ, thiếu cân nhắc, thiếu tôn trọng và không thể chấp nhận được. Mức độ dịch vụ ở nơi này kém hơn nhiều so với các chi nhánh tương tự ở TP HCM. Sẽ không bao giờ đến đây nữa!",en,Negative
Mom RT,그냥 맥도날드 ㅋㅋㅋ,3,Chỉ là McDonalds thôi haha,ko,Neutral
Aaron Karabegovic,Worst McDonalds burger I've ever had.,1,Bánh burger McDonalds tệ nhất tôi từng có.,en,Negative
Christopher Cotton,Very busy and only had 3 screens youvcould order from.  Food took ages to get.  The bun itself was wet and horrible. Not a great experience.,3,Rất bận rộn và chỉ có 3 màn hình bạn có thể đặt hàng. Thức ăn mất nhiều thời gian để có được. Bản thân chiếc bánh đã ướt và khủng khiếp. Không phải là một trải nghiệm tuyệt vời,en,Neutral
Ha Pham,Đâu cũng vậy cùng một type.,4,Đâu cũng vậy cùng một type.,vi,Positive
Long Nguyen,Got severe stomachache,1,Bị đau bụng dữ dội,en,Negative
Trinh2k Chang,Bắt tài xế đứng trờ ngoài đường. Tài xế cũng là khách hàng,1,Bắt tài xế đứng trờ ngoài đường. Tài xế cũng là khách hàng,vi,Negative
ANTON nedolzhno,Старуха возле ресторана требует деньги за парковку на дороге),5,Một bà già gần nhà hàng đòi tiền đậu xe trên đường),ru,Positive
諸星旭,"外国人だから分からないと思ったのか普通にお金多くとられました。残念です。
味は普通にマックでした。",1,"Chắc họ tưởng tôi không hiểu vì tôi là người nước ngoài nên lấy rất nhiều tiền. Tôi xin lỗi.
Hương vị Mac bình thường.",ja,Negative
linh cao vũ,Phục vụ tốt!,5,Phục vụ tốt!,vi,Positive
김종욱,매장내 식사 생각하고갔다가 주말에 인피로인해 테이크 아웃 해 왔다 카드 기계가 고장인지 카드 결제가 안되서 외국 사람들은 다 당황한듯 카운터로 다시 가서 현금결제하고 키오스크가 제역할을 못하는거 같다,3,"Mình đến đó định ăn ở cửa hàng nhưng do cuối tuần đông đúc nên mình phải mang đi, máy thẻ bị hỏng nhưng không thanh toán được bằng thẻ nên các bạn nước ngoài đều có vẻ bối rối và quay lại. quầy thanh toán bằng tiền mặt, nhưng ki-ốt dường như không hoạt động bình thường.",ko,Neutral
Đỗ Thị Hiền,Thái độ nhân viên tốt. Sạch sẽ.,5,Thái độ nhân viên tốt. Sạch sẽ.,vi,Positive
cc cheng,Can fill you up with reasonable prices,4,Có thể lấp đầy cho bạn với giá cả hợp lý,en,Positive
Hang Hoang Thu,Ok,5,Được rồi,en,Positive
Sùng Phạm,Ngôn mà lắm lúc đông khách đợi lâu,5,Ngôn mà lắm lúc đông khách đợi lâu,vi,Positive
Chí Nguyễn,"vị trí này quá đỉnh, vị đồ ăn thì đồng nhất với hệ thống",5,"vị trí này quá đỉnh, vị đồ ăn thì đồng nhất với hệ thống",vi,Positive
Fedi Aloui,Bad quality service!,1,Chất lượng dịch vụ kém!,en,Negative
rob ng,Good but slow,5,Tốt nhưng chậm,en,Positive
Dominic Chan,Very slow. The burger and fries tasted like they were made yesterday.,2,Rất chậm. Bánh mì kẹp thịt và khoai tây chiên có vị như được làm ngày hôm qua.,en,Negative
周利槃特釈迦仏,注文がタッチパネルになって やり方わからん。カウンターじゃ受け付けてくれないので もう行けない。,3,Tôi không biết cách đặt hàng bằng bảng cảm ứng. Tôi không thể đến đó nữa vì họ không chấp nhận nó ở quầy.,ja,Neutral
Duy Ninh,Good,5,Tốt,en,Positive
Phụ Kiện Ô tô Minh Đức,"Ăn lần thứ n và lần đầu review :))) gà thơm ngon, bánh cũng ngon hơn các nơi khác. Đi qua bờ Hồ mà k ghé qua làm 1 suất thì hơi bị thiếu thiếu j đó",5,"Ăn lần thứ n và lần đầu review :))) gà thơm ngon, bánh cũng ngon hơn các nơi khác. Đi qua bờ Hồ mà k ghé qua làm 1 suất thì hơi bị thiếu thiếu j đó",vi,Positive
Lâm Phúc,Good,5,Tốt,en,Positive
Nguyễn Văn Tùng,Good,5,Tốt,en,Positive
Bạc Băng Tiêu,Good,5,Tốt,en,Positive
Trang Nguyễn,Good,5,Tốt,en,Positive
Thành Vm,Good,5,Tốt,en,Positive
Nam Nguyễn,Good,5,Tốt,en,Positive
Mạnh Đình Nguyễn,Good,5,Tốt,en,Positive
Phượng Trần,Good,5,Tốt,en,Positive
Phương Ngoan,"Quán sạch sẽ, đồ ăn chất lượng lắm nha, 10đ cho thái độ phục vụ khách hàng, 1 trải nghiệm tốt khi vào quán, sẽ tiếp tục ủng hộ cửa hàng",5,"Quán sạch sẽ, đồ ăn chất lượng lắm nha, 10đ cho thái độ phục vụ khách hàng, 1 trải nghiệm tốt khi vào quán, sẽ tiếp tục ủng hộ cửa hàng",vi,Positive
Hường Thu,Good,5,Tốt,en,Positive
Nick Kun,Rất đáng tiền,5,Rất đáng tiền,vi,Positive
Thắng Nguyễn Thành,Good,5,Tốt,en,Positive
Kim Anh,Good,5,Tốt,en,Positive
Hoài Bùi,Good,5,Tốt,en,Positive
Ngọc Nguyễn Vân,Good,5,Tốt,en,Positive
Bạch Dương Trịnh,Hồ gươm,5,Hồ gươm,vi,Positive
Nam Dom,Tốt,5,Tốt,vi,Positive
Tài Gà,Good,5,Tốt,en,Positive
Lò Thị Kiều,Good,5,Tốt,en,Positive
pham cherry,Ha Noi Vietnam 🇻🇳 Macdonald 👍,5,Hà Nội Việt Nam 🇻🇳 Macdonald 👍,it,Positive
Đăng Tiến,"chất lượng đồ ăn thì không có gì phải nói tuy nhiên cách thức làm việc ở nhà hàng này lại không hiệu quả chút nào
- quán không có loa thông báo: vì quán rất đông khách, lượng người chờ lấy đồ là rất lớn, có những khách tây hoặc người chờ lấy đồ tại bàn thì không thể nghe hoặc hiểu được nếu như nhân viên chỉ gào mồm lên đọc ""đơn số... ra nhận hàng"" nơi này thực sự cần một hệ thống loa và mic để nhân viên đọc số thứ tự trên loa tránh cho việc đồ làm xong nhưng người nhận không biết cứ chờ và và lượng khách tới liên tục sẽ gây hiện tượng chờ đồ lâu, ách tắc không cần thiết",3,"chất lượng đồ ăn thì không có gì phải nói tuy nhiên cách thức làm việc ở nhà hàng này lại không hiệu quả chút nào
- quán không có loa thông báo: vì quán rất đông khách, lượng người chờ lấy đồ là rất lớn, có những khách tây hoặc người chờ lấy đồ tại bàn thì không thể nghe hoặc hiểu được nếu như nhân viên chỉ gào mồm lên đọc ""đơn số... ra nhận hàng"" nơi này thực sự cần một hệ thống loa và mic để nhân viên đọc số thứ tự trên loa tránh cho việc đồ làm xong nhưng người nhận không biết cứ chờ và và lượng khách tới liên tục sẽ gây hiện tượng chờ đồ lâu, ách tắc không cần thiết",vi,Neutral
Lâm :3,Good,5,Tốt,en,Positive
LeThanhDuy offical,Good,5,Tốt,en,Positive
Uyên Huế,Good,5,Tốt,en,Positive
Huyền Hà,"Dịch vụ khách hàng không tốt do quá đông khách.
Nhưng đồ ăn thì không đặc sắc.",4,"Dịch vụ khách hàng không tốt do quá đông khách.
Nhưng đồ ăn thì không đặc sắc.",vi,Positive
Bùi Đặng Nhật Duy,Good,5,Tốt,en,Positive
Hoang Trong Dat,Good,5,Tốt,en,Positive
695 Thưởng,Good,5,Tốt,en,Positive
Fernando Romero,Over crowded. Bathroom is always a mess.,1,Quá đông đúc. Phòng tắm luôn là một mớ hỗn độn.,en,Negative
Bdgf Ffdg,Good,5,Tốt,en,Positive
Lê Mai Lan,Good,5,Tốt,en,Positive
Hiếu Đậu Thị,Good,5,Tốt,en,Positive
Thu Tô,Good,5,Tốt,en,Positive
Dang Tien,Good,5,Tốt,en,Positive
Thịnh Kim,Good,5,Tốt,en,Positive
Hùng Tòng Văn,Good,5,Tốt,en,Positive
Phượng Đỗ,Good,5,Tốt,en,Positive
Bao Nguyen,Good,5,Tốt,en,Positive
Dung Nguyễn,Good,5,Tốt,en,Positive
BYA Y TIEN,Good,5,Tốt,en,Positive
Nhac Hoang,Good,5,Tốt,en,Positive
Linh Đỗ,Good,5,Tốt,en,Positive
Phương Trần,good,5,Tốt,en,Positive
Thích Xì Gà,"Đông đúc, nhưng vị trí đẹp vậy mà làm view không đã lắm.",4,"Đông đúc, nhưng vị trí đẹp vậy mà làm view không đã lắm.",vi,Positive
Tân Nguyễn,Good,5,Tốt,en,Positive
hoàng nguyên,Good,5,Tốt,en,Positive
Hop Vutuan,Good,5,Tốt,en,Positive
Hoàngg Tyếnn,good,5,Tốt,en,Positive
trong xuan,Good,5,Tốt,en,Positive
Đức Anh Hoàng,Good,5,Tốt,en,Positive
ngọc châu cover,Good,5,Tốt,en,Positive
luân phạm,Good,5,Tốt,en,Positive
